num,District Name,Full Name,Party,Percent Votes,fullname_w,party_w,percentvotes_w
35109,Toronto--Danforth,Julie Dabrusin,Liberal,42.3,Julie Julie,Liberal,42.3
35109,Toronto--Danforth,Benjamin Dichter,Conservative,9.9,Julie Julie,Liberal,42.3
35109,Toronto--Danforth,John Richardson,PC Party,2.3,Julie Julie,Liberal,42.3
35109,Toronto--Danforth,Craig Scott,NDP-New Democratic Party,40.2,Julie Julie,Liberal,42.3
35109,Toronto--Danforth,Chris Tolley,Green Party,4.7,Julie Julie,Liberal,42.3
35110,University--Rosedale,David Berlin,The Bridge,0.2,Chrystia Chrystia,Liberal,49.8
35110,University--Rosedale,Chrystia Freeland,Liberal,49.8,Chrystia Chrystia,Liberal,49.8
35110,University--Rosedale,Drew Garvie,Communist,0.2,Chrystia Chrystia,Liberal,49.8
35110,University--Rosedale,Jennifer Hollett,NDP-New Democratic Party,28.6,Chrystia Chrystia,Liberal,49.8
35110,University--Rosedale,Karim Jivraj,Conservative,17.5,Chrystia Chrystia,Liberal,49.8
35110,University--Rosedale,Simon Luisi,Animal Alliance/Environment Voters,0.2,Chrystia Chrystia,Liberal,49.8
35110,University--Rosedale,Steve Rutchinski,Marxist-Leninist,0.1,Chrystia Chrystia,Liberal,49.8
35110,University--Rosedale,Jesse Waslowski,Libertarian,0.4,Chrystia Chrystia,Liberal,49.8
35110,University--Rosedale,Nick Wright,Green Party,2.9,Chrystia Chrystia,Liberal,49.8
35111,Vaughan--Woodbridge,Elise Boulanger,Green Party,1.3,Francesco Francesco,Liberal,48.7
35111,Vaughan--Woodbridge,Julian Fantino,Conservative,43.9,Francesco Francesco,Liberal,48.7
35111,Vaughan--Woodbridge,Anthony Gualtieri,Libertarian,1.5,Francesco Francesco,Liberal,48.7
35111,Vaughan--Woodbridge,Francesco Sorbara,Liberal,48.7,Francesco Francesco,Liberal,48.7
35111,Vaughan--Woodbridge,Adriana Marie Zichy,NDP-New Democratic Party,4.6,Francesco Francesco,Liberal,48.7
35112,Waterloo,Peter Braid,Conservative,32.3,Bardish Bardish,Liberal,49.7
35112,Waterloo,Bardish Chagger,Liberal,49.7,Bardish Bardish,Liberal,49.7
35112,Waterloo,Diane Freeman,NDP-New Democratic Party,14.9,Bardish Bardish,Liberal,49.7
35112,Waterloo,Emma Hawley-Yan,Animal Alliance/Environment Voters,0.2,Bardish Bardish,Liberal,49.7
35112,Waterloo,Richard Walsh,Green Party,2.9,Bardish Bardish,Liberal,49.7
35113,Wellington--Halton Hills,Harvey Edward Anstey,CAP,0.3,Michael Michael,Conservative,50.9
35113,Wellington--Halton Hills,Brent Allan Bouteiller,Green Party,4.0,Michael Michael,Conservative,50.9
35113,Wellington--Halton Hills,Michael Chong,Conservative,50.9,Michael Michael,Conservative,50.9
35113,Wellington--Halton Hills,Anne Gajerski-Cauley,NDP-New Democratic Party,8.3,Michael Michael,Conservative,50.9
35113,Wellington--Halton Hills,Don Trant,Liberal,36.5,Michael Michael,Conservative,50.9
35114,Whitby,Celina Caesar-Chavannes,Liberal,45.0,Celina Celina,Liberal,45.0
35114,Whitby,Craig Cameron,Green Party,2.2,Celina Celina,Liberal,45.0
35114,Whitby,Ryan Kelly,NDP-New Democratic Party,10.3,Celina Celina,Liberal,45.0
35114,Whitby,Jon O'Connor,Independent,0.4,Celina Celina,Liberal,45.0
35114,Whitby,Pat Perkins,Conservative,42.1,Celina Celina,Liberal,45.0
35115,Willowdale,Birinder Singh Ahluwalia,Independent,0.5,Ali Ali,Liberal,53.4
35115,Willowdale,James Arruda,Green Party,2.2,Ali Ali,Liberal,53.4
35115,Willowdale,Ali Ehsassi,Liberal,53.4,Ali Ali,Liberal,53.4
35115,Willowdale,Chungsen Leung,Conservative,37.0,Ali Ali,Liberal,53.4
35115,Willowdale,Pouyan Tabasinejad,NDP-New Democratic Party,7.0,Ali Ali,Liberal,53.4
35116,Windsor--Tecumseh,Laura Chesnik,Marxist-Leninist,0.5,Cheryl Cheryl,NDP-New Democratic Party,43.5
35116,Windsor--Tecumseh,Jo-Anne Gignac,Conservative,27.5,Cheryl Cheryl,NDP-New Democratic Party,43.5
35116,Windsor--Tecumseh,Cheryl Hardcastle,NDP-New Democratic Party,43.5,Cheryl Cheryl,NDP-New Democratic Party,43.5
35116,Windsor--Tecumseh,David Momotiuk,Green Party,2.0,Cheryl Cheryl,NDP-New Democratic Party,43.5
35116,Windsor--Tecumseh,Frank Schiller,Liberal,26.6,Cheryl Cheryl,NDP-New Democratic Party,43.5
35117,Windsor West,Cora LaRussa,Green Party,2.3,Brian Brian,NDP-New Democratic Party,51.3
35117,Windsor West,Henry Lau,Conservative,20.8,Brian Brian,NDP-New Democratic Party,51.3
35117,Windsor West,Brian Masse,NDP-New Democratic Party,51.3,Brian Brian,NDP-New Democratic Party,51.3
35117,Windsor West,Dave Sundin,Liberal,25.2,Brian Brian,NDP-New Democratic Party,51.3
35117,Windsor West,Margaret Villamizar,Marxist-Leninist,0.3,Brian Brian,NDP-New Democratic Party,51.3
35118,York Centre,Mark Adler,Conservative,44.0,Michael Michael,Liberal,46.9
35118,York Centre,Hal Berman,NDP-New Democratic Party,7.3,Michael Michael,Liberal,46.9
35118,York Centre,Constantine Kritsonis,Green Party,1.8,Michael Michael,Liberal,46.9
35118,York Centre,Michael Levitt,Liberal,46.9,Michael Michael,Liberal,46.9
35119,York--Simcoe,Sylvia Gerl,NDP-New Democratic Party,8.9,Peter Peter,Conservative,50.2
35119,York--Simcoe,Shaun Tanaka,Liberal,37.8,Peter Peter,Conservative,50.2
35119,York--Simcoe,Peter Van Loan,Conservative,50.2,Peter Peter,Conservative,50.2
35119,York--Simcoe,Mark Viitala,Green Party,3.1,Peter Peter,Conservative,50.2
35120,York South--Weston,Ahmed Hussen,Liberal,46.0,Ahmed Ahmed,Liberal,46.0
35120,York South--Weston,John Johnson,Green Party,2.0,Ahmed Ahmed,Liberal,46.0
35120,York South--Weston,Stephen Lepone,Libertarian,2.4,Ahmed Ahmed,Liberal,46.0
35120,York South--Weston,James Robinson,Conservative,19.2,Ahmed Ahmed,Liberal,46.0
35120,York South--Weston,Mike Sullivan,NDP-New Democratic Party,30.4,Ahmed Ahmed,Liberal,46.0
35121,Humber River--Black Creek,Darnel Harris,NDP-New Democratic Party,10.7,Judy Judy,Liberal,66.9
35121,Humber River--Black Creek,Keith Jarrett,Green Party,1.6,Judy Judy,Liberal,66.9
35121,Humber River--Black Creek,Christine Nugent,Marxist-Leninist,0.6,Judy Judy,Liberal,66.9
35121,Humber River--Black Creek,Judy Sgro,Liberal,66.9,Judy Judy,Liberal,66.9
35121,Humber River--Black Creek,Kerry Vandenberg,Conservative,20.2,Judy Judy,Liberal,66.9
46001,Brandon--Souris,Larry Maguire,Conservative,50.3,Larry Larry,Conservative,50.3
46001,Brandon--Souris,David Neufeld,Green Party,6.1,Larry Larry,Conservative,50.3
46001,Brandon--Souris,Melissa Joy Wastasecoot,NDP-New Democratic Party,6.3,Larry Larry,Conservative,50.3
46001,Brandon--Souris,Jodi Wyman,Liberal,37.3,Larry Larry,Conservative,50.3
46002,Charleswood--St. James--Assiniboia--Headingley,Doug Eyolfson,Liberal,52.0,Doug Doug,Liberal,52.0
46002,Charleswood--St. James--Assiniboia--Headingley,Steven Fletcher,Conservative,39.0,Doug Doug,Liberal,52.0
46002,Charleswood--St. James--Assiniboia--Headingley,Kevin Nichols,Green Party,2.9,Doug Doug,Liberal,52.0
46002,Charleswood--St. James--Assiniboia--Headingley,Tom Paulley,NDP-New Democratic Party,6.0,Doug Doug,Liberal,52.0
46003,Churchill--Keewatinook Aski,Niki Ashton,NDP-New Democratic Party,45.0,Niki Niki,NDP-New Democratic Party,45.0
46003,Churchill--Keewatinook Aski,Rebecca Chartrand,Liberal,42.0,Niki Niki,NDP-New Democratic Party,45.0
46003,Churchill--Keewatinook Aski,August Hastmann,Green Party,1.8,Niki Niki,NDP-New Democratic Party,45.0
46003,Churchill--Keewatinook Aski,Zachary Linnick,Libertarian,0.9,Niki Niki,NDP-New Democratic Party,45.0
46003,Churchill--Keewatinook Aski,Kyle G. Mirecki,Conservative,10.3,Niki Niki,NDP-New Democratic Party,45.0
46004,Dauphin--Swan River--Neepawa,Laverne M. Lewycky,NDP-New Democratic Party,12.3,Robert Robert,Conservative,46.3
46004,Dauphin--Swan River--Neepawa,Inky Mark,Independent,8.1,Robert Robert,Conservative,46.3
46004,Dauphin--Swan River--Neepawa,Ray Piché,Liberal,29.5,Robert Robert,Conservative,46.3
46004,Dauphin--Swan River--Neepawa,Robert Sopuck,Conservative,46.3,Robert Robert,Conservative,46.3
46004,Dauphin--Swan River--Neepawa,Kate Storey,Green Party,3.8,Robert Robert,Conservative,46.3
46005,Elmwood--Transcona,Daniel Blaikie,NDP-New Democratic Party,34.1,Daniel Daniel,NDP-New Democratic Party,34.1
46005,Elmwood--Transcona,Kim Parke,Green Party,2.4,Daniel Daniel,NDP-New Democratic Party,34.1
46005,Elmwood--Transcona,Andrea Richardson-Lipon,Liberal,29.5,Daniel Daniel,NDP-New Democratic Party,34.1
46005,Elmwood--Transcona,Lawrence Toet,Conservative,34.0,Daniel Daniel,NDP-New Democratic Party,34.1
46006,Kildonan--St. Paul,Jim Bell,Conservative,39.8,MaryAnn MaryAnn,Liberal,42.7
46006,Kildonan--St. Paul,Eduard Walter Hiebert,Independent,0.3,MaryAnn MaryAnn,Liberal,42.7
46006,Kildonan--St. Paul,Suzanne Hrynyk,NDP-New Democratic Party,14.3,MaryAnn MaryAnn,Liberal,42.7
46006,Kildonan--St. Paul,MaryAnn Mihychuk,Liberal,42.7,MaryAnn MaryAnn,Liberal,42.7
46006,Kildonan--St. Paul,David Reimer,Christian Heritage Party,1.1,MaryAnn MaryAnn,Liberal,42.7
46006,Kildonan--St. Paul,Steven Stairs,Green Party,1.8,MaryAnn MaryAnn,Liberal,42.7
46007,Portage--Lisgar,Candice Bergen,Conservative,60.8,Candice Candice,Conservative,60.8
46007,Portage--Lisgar,Jerome Dondo,Christian Heritage Party,3.2,Candice Candice,Conservative,60.8
46007,Portage--Lisgar,Beverley Eert,Green Party,4.0,Candice Candice,Conservative,60.8
46007,Portage--Lisgar,Dean Harder,NDP-New Democratic Party,6.2,Candice Candice,Conservative,60.8
46007,Portage--Lisgar,Ken Werbiski,Liberal,25.8,Candice Candice,Conservative,60.8
46008,Provencher,Ted Falk,Conservative,56.1,Ted Ted,Conservative,56.1
46008,Provencher,Terry Hayward,Liberal,34.7,Ted Ted,Conservative,56.1
46008,Provencher,Les Lilley,NDP-New Democratic Party,5.3,Ted Ted,Conservative,56.1
46008,Provencher,Jeff Wheeldon,Green Party,4.0,Ted Ted,Conservative,56.1
46009,Saint Boniface--Saint Vital,François Catellier,Conservative,28.7,Dan Dan,Liberal,58.4
46009,Saint Boniface--Saint Vital,Erin Selby,NDP-New Democratic Party,10.6,Dan Dan,Liberal,58.4
46009,Saint Boniface--Saint Vital,Dan Vandal,Liberal,58.4,Dan Dan,Liberal,58.4
46009,Saint Boniface--Saint Vital,Glenn Zaretski,Green Party,2.3,Dan Dan,Liberal,58.4
46010,Selkirk--Interlake--Eastman,James Bezan,Conservative,51.9,James James,Conservative,51.9
46010,Selkirk--Interlake--Eastman,Deborah Chief,NDP-New Democratic Party,11.4,James James,Conservative,51.9
46010,Selkirk--Interlake--Eastman,Donald L. Grant,Libertarian,1.8,James James,Conservative,51.9
46010,Selkirk--Interlake--Eastman,Wayne James,Green Party,3.5,James James,Conservative,51.9
46010,Selkirk--Interlake--Eastman,Joanne Levy,Liberal,31.4,James James,Conservative,51.9
46011,Winnipeg Centre,Pat Martin,NDP-New Democratic Party,28.0,Robert-Falcon Robert-Falcon,Liberal,54.5
46011,Winnipeg Centre,Scott Miller,Christian Heritage Party,0.7,Robert-Falcon Robert-Falcon,Liberal,54.5
46011,Winnipeg Centre,Robert-Falcon Ouellette,Liberal,54.5,Robert-Falcon Robert-Falcon,Liberal,54.5
46011,Winnipeg Centre,Darrell Rankin,Communist,0.4,Robert-Falcon Robert-Falcon,Liberal,54.5
46011,Winnipeg Centre,Allie Szarkiewicz,Conservative,12.4,Robert-Falcon Robert-Falcon,Liberal,54.5
46011,Winnipeg Centre,Don Woodstock,Green Party,4.1,Robert-Falcon Robert-Falcon,Liberal,54.5
46012,Winnipeg North,Levy Abad,NDP-New Democratic Party,13.4,Kevin Kevin,Liberal,68.9
46012,Winnipeg North,Kevin Lamoureux,Liberal,68.9,Kevin Kevin,Liberal,68.9
46012,Winnipeg North,John Redekopp,Green Party,2.4,Kevin Kevin,Liberal,68.9
46012,Winnipeg North,Harpreet Turka,Conservative,15.3,Kevin Kevin,Liberal,68.9
46013,Winnipeg South,Terry Duguid,Liberal,58.3,Terry Terry,Liberal,58.3
46013,Winnipeg South,Gordon Giesbrecht,Conservative,34.7,Terry Terry,Liberal,58.3
46013,Winnipeg South,Brianne Goertzen,NDP-New Democratic Party,5.0,Terry Terry,Liberal,58.3
46013,Winnipeg South,Adam Smith,Green Party,2.1,Terry Terry,Liberal,58.3
46014,Winnipeg South Centre,Joyce Bateman,Conservative,28.2,Jim Jim,Liberal,59.7
46014,Winnipeg South Centre,Jim Carr,Liberal,59.7,Jim Jim,Liberal,59.7
46014,Winnipeg South Centre,Matt Henderson,NDP-New Democratic Party,9.0,Jim Jim,Liberal,59.7
46014,Winnipeg South Centre,Andrew Park,Green Party,3.1,Jim Jim,Liberal,59.7
47001,Battlefords--Lloydminster,Doug Anguish,Independent,3.2,Gerry Gerry,Conservative,61.0
47001,Battlefords--Lloydminster,Larry Ingram,Liberal,16.5,Gerry Gerry,Conservative,61.0
47001,Battlefords--Lloydminster,Gerry Ritz,Conservative,61.0,Gerry Gerry,Conservative,61.0
47001,Battlefords--Lloydminster,Glenn Tait,NDP-New Democratic Party,17.6,Gerry Gerry,Conservative,61.0
47001,Battlefords--Lloydminster,Mikaela Tenkink,Green Party,1.7,Gerry Gerry,Conservative,61.0
47002,Cypress Hills--Grasslands,David Anderson,Conservative,69.2,David David,Conservative,69.2
47002,Cypress Hills--Grasslands,William Caton,Green Party,2.7,David David,Conservative,69.2
47002,Cypress Hills--Grasslands,Trevor Peterson,NDP-New Democratic Party,13.2,David David,Conservative,69.2
47002,Cypress Hills--Grasslands,Marvin Wiens,Liberal,14.9,David David,Conservative,69.2
47003,Desnethé--Missinippi--Churchill River,Rob Clarke,Conservative,30.1,Georgina Georgina,NDP-New Democratic Party,34.2
47003,Desnethé--Missinippi--Churchill River,Georgina Jolibois,NDP-New Democratic Party,34.2,Georgina Georgina,NDP-New Democratic Party,34.2
47003,Desnethé--Missinippi--Churchill River,Lawrence Joseph,Liberal,33.9,Georgina Georgina,NDP-New Democratic Party,34.2
47003,Desnethé--Missinippi--Churchill River,Warren Koch,Green Party,1.8,Georgina Georgina,NDP-New Democratic Party,34.2
47003,Desnethé--Missinippi--Churchill River,Rob Clarke,Conservative,30.2,Georgina Georgina,NDP-New Democratic Party,34.2
47003,Desnethé--Missinippi--Churchill River,Georgina Jolibois,NDP-New Democratic Party,34.1,Georgina Georgina,NDP-New Democratic Party,34.2
47003,Desnethé--Missinippi--Churchill River,Lawrence Joseph,Liberal,33.9,Georgina Georgina,NDP-New Democratic Party,34.2
47003,Desnethé--Missinippi--Churchill River,Warren Koch,Green Party,1.8,Georgina Georgina,NDP-New Democratic Party,34.2
47004,Carlton Trail--Eagle Creek,Kelly Block,Conservative,64.7,Kelly Kelly,Conservative,64.7
47004,Carlton Trail--Eagle Creek,Lynn Wesley Oliphant,Green Party,2.2,Kelly Kelly,Conservative,64.7
47004,Carlton Trail--Eagle Creek,Alexander Slusar,Liberal,14.4,Kelly Kelly,Conservative,64.7
47004,Carlton Trail--Eagle Creek,Glenn Wright,NDP-New Democratic Party,18.7,Kelly Kelly,Conservative,64.7
47005,Moose Jaw--Lake Centre--Lanigan,Dustan Hlady,NDP-New Democratic Party,23.8,Tom Tom,Conservative,55.5
47005,Moose Jaw--Lake Centre--Lanigan,Perry Juttla,Liberal,18.0,Tom Tom,Conservative,55.5
47005,Moose Jaw--Lake Centre--Lanigan,Tom Lukiwski,Conservative,55.5,Tom Tom,Conservative,55.5
47005,Moose Jaw--Lake Centre--Lanigan,Shawn Setyo,Green Party,2.3,Tom Tom,Conservative,55.5
47005,Moose Jaw--Lake Centre--Lanigan,Robert Thomas,Rhinoceros,0.5,Tom Tom,Conservative,55.5
47006,Prince Albert,Lon Borgerson,NDP-New Democratic Party,28.5,Randy Randy,Conservative,49.8
47006,Prince Albert,Randy Hoback,Conservative,49.8,Randy Randy,Conservative,49.8
47006,Prince Albert,Gordon Kirkby,Liberal,19.8,Randy Randy,Conservative,49.8
47006,Prince Albert,Byron Tenkink,Green Party,1.9,Randy Randy,Conservative,49.8
47007,Regina--Lewvan,Louis Browne,Liberal,27.5,Erin Erin,NDP-New Democratic Party,35.2
47007,Regina--Lewvan,Wojciech Dolata,Libertarian,0.6,Erin Erin,NDP-New Democratic Party,35.2
47007,Regina--Lewvan,Trent Fraser,Conservative,34.9,Erin Erin,NDP-New Democratic Party,35.2
47007,Regina--Lewvan,Tamela Friesen,Green Party,1.8,Erin Erin,NDP-New Democratic Party,35.2
47007,Regina--Lewvan,Erin Weir,NDP-New Democratic Party,35.2,Erin Erin,NDP-New Democratic Party,35.2
47008,Regina--Qu'Appelle,Della Anaquod,Liberal,22.8,Andrew Andrew,Conservative,44.7
47008,Regina--Qu'Appelle,Greg Chatterson,Green Party,2.3,Andrew Andrew,Conservative,44.7
47008,Regina--Qu'Appelle,Nial Kuyek,NDP-New Democratic Party,30.2,Andrew Andrew,Conservative,44.7
47008,Regina--Qu'Appelle,Andrew Scheer,Conservative,44.7,Andrew Andrew,Conservative,44.7
47009,Regina--Wascana,April Bourgeois,NDP-New Democratic Party,12.6,Ralph Ralph,Liberal,55.1
47009,Regina--Wascana,Ralph Goodale,Liberal,55.1,Ralph Ralph,Liberal,55.1
47009,Regina--Wascana,Michael Kram,Conservative,30.3,Ralph Ralph,Liberal,55.1
47009,Regina--Wascana,Frances Simonson,Green Party,2.1,Ralph Ralph,Liberal,55.1
47010,Saskatoon--Grasswood,Scott Bell,NDP-New Democratic Party,30.2,Kevin Kevin,Conservative,41.6
47010,Saskatoon--Grasswood,Mark Bigland-Pritchard,Green Party,1.8,Kevin Kevin,Conservative,41.6
47010,Saskatoon--Grasswood,Tracy Muggli,Liberal,26.4,Kevin Kevin,Conservative,41.6
47010,Saskatoon--Grasswood,Kevin Waugh,Conservative,41.6,Kevin Kevin,Conservative,41.6
47011,Saskatoon--University,Cynthia Marie Block,Liberal,25.2,Brad Brad,Conservative,41.5
47011,Saskatoon--University,Claire Card,NDP-New Democratic Party,31.5,Brad Brad,Conservative,41.5
47011,Saskatoon--University,Valerie Harvey,Green Party,1.5,Brad Brad,Conservative,41.5
47011,Saskatoon--University,Eric Matthew Schalm,Rhinoceros,0.2,Brad Brad,Conservative,41.5
47011,Saskatoon--University,Brad Trost,Conservative,41.5,Brad Brad,Conservative,41.5
47012,Saskatoon West,Lisa Abbott,Liberal,24.5,Sheri Sheri,NDP-New Democratic Party,39.6
47012,Saskatoon West,Sheri Benson,NDP-New Democratic Party,39.6,Sheri Sheri,NDP-New Democratic Party,39.6
47012,Saskatoon West,Randy Donauer,Conservative,32.9,Sheri Sheri,NDP-New Democratic Party,39.6
47012,Saskatoon West,Bronek Hart,Libertarian,0.6,Sheri Sheri,NDP-New Democratic Party,39.6
47012,Saskatoon West,Lois Carol Mitchell,Green Party,1.7,Sheri Sheri,NDP-New Democratic Party,39.6
47012,Saskatoon West,Jim Pankiw,Canada Party,0.7,Sheri Sheri,NDP-New Democratic Party,39.6
47013,Souris--Moose Mountain,Steven Bebbington,Liberal,13.5,Robert Gordon Robert Gordon,Conservative,70.1
47013,Souris--Moose Mountain,Bob Deptuck,Green Party,2.6,Robert Gordon Robert Gordon,Conservative,70.1
47013,Souris--Moose Mountain,Robert Gordon Kitchen,Conservative,70.1,Robert Gordon Robert Gordon,Conservative,70.1
47013,Souris--Moose Mountain,Vicky O'Dell,NDP-New Democratic Party,13.7,Robert Gordon Robert Gordon,Conservative,70.1
47014,Yorkton--Melville,Elaine Marie Hughes,Green Party,2.8,Cathay Cathay,Conservative,59.2
47014,Yorkton--Melville,Brooke Taylor Malinoski,Liberal,17.8,Cathay Cathay,Conservative,59.2
47014,Yorkton--Melville,Doug Ottenbreit,NDP-New Democratic Party,20.2,Cathay Cathay,Conservative,59.2
47014,Yorkton--Melville,Cathay Wagantall,Conservative,59.2,Cathay Cathay,Conservative,59.2
48001,Banff--Airdrie,Joanne Boissonneault,NDP-New Democratic Party,6.8,Blake Blake,Conservative,63.4
48001,Banff--Airdrie,Mike MacDonald,Green Party,3.8,Blake Blake,Conservative,63.4
48001,Banff--Airdrie,Marlo Raynolds,Liberal,26.1,Blake Blake,Conservative,63.4
48001,Banff--Airdrie,Blake Richards,Conservative,63.4,Blake Blake,Conservative,63.4
48002,Battle River--Crowfoot,Gary Kelly,Green Party,3.2,Kevin Kevin,Conservative,80.9
48002,Battle River--Crowfoot,Andy Kowalski,Liberal,9.4,Kevin Kevin,Conservative,80.9
48002,Battle River--Crowfoot,Kevin Sorenson,Conservative,80.9,Kevin Kevin,Conservative,80.9
48002,Battle River--Crowfoot,Katherine Swampy,NDP-New Democratic Party,6.5,Kevin Kevin,Conservative,80.9
48003,Bow River,William MacDonald Alexander,Liberal,13.7,Martin Martin,Conservative,77.4
48003,Bow River,Rita Ann Fromholt,Green Party,1.8,Martin Martin,Conservative,77.4
48003,Bow River,Fahed Khalid,Democratic Advancement,0.2,Martin Martin,Conservative,77.4
48003,Bow River,Andrew Kucy,Independent,1.1,Martin Martin,Conservative,77.4
48003,Bow River,Lynn MacWilliam,NDP-New Democratic Party,5.2,Martin Martin,Conservative,77.4
48003,Bow River,Martin Shields,Conservative,77.4,Martin Martin,Conservative,77.4
48003,Bow River,Frans VandeStroet,Christian Heritage Party,0.6,Martin Martin,Conservative,77.4
48004,Calgary Centre,Thana Boonlert,Green Party,2.2,Kent Kent,Liberal,46.5
48004,Calgary Centre,Joan Crockatt,Conservative,45.3,Kent Kent,Liberal,46.5
48004,Calgary Centre,Kent Hehr,Liberal,46.5,Kent Kent,Liberal,46.5
48004,Calgary Centre,Yogi Henderson,Independent,0.4,Kent Kent,Liberal,46.5
48004,Calgary Centre,Jillian Ratti,NDP-New Democratic Party,5.6,Kent Kent,Liberal,46.5
48005,Calgary Confederation,Matt Grant,Liberal,43.5,Len Len,Conservative,45.9
48005,Calgary Confederation,Kirk Heuser,NDP-New Democratic Party,7.1,Len Len,Conservative,45.9
48005,Calgary Confederation,Kevan Hunter,Marxist-Leninist,0.2,Len Len,Conservative,45.9
48005,Calgary Confederation,Natalie Odd,Green Party,3.2,Len Len,Conservative,45.9
48005,Calgary Confederation,Len Webber,Conservative,45.9,Len Len,Conservative,45.9
48006,Calgary Forest Lawn,Matt Badura,Libertarian,2.0,Deepak Deepak,Conservative,48.0
48006,Calgary Forest Lawn,Jason Devine,Communist,1.0,Deepak Deepak,Conservative,48.0
48006,Calgary Forest Lawn,Judson Hansell,Green Party,3.0,Deepak Deepak,Conservative,48.0
48006,Calgary Forest Lawn,Deepak Obhrai,Conservative,48.0,Deepak Deepak,Conservative,48.0
48006,Calgary Forest Lawn,Abdou Souraya,NDP-New Democratic Party,9.8,Deepak Deepak,Conservative,48.0
48006,Calgary Forest Lawn,Cam Stewart,Liberal,36.0,Deepak Deepak,Conservative,48.0
48006,Calgary Forest Lawn,Max Veress,Democratic Advancement,0.3,Deepak Deepak,Conservative,48.0
48007,Calgary Heritage,Kelly Christie,Green Party,2.1,Stephen J. Stephen J.,Conservative,63.8
48007,Calgary Heritage,Nicolas Duchastel de Montrouge,Independent,0.1,Stephen J. Stephen J.,Conservative,63.8
48007,Calgary Heritage,Stephen J. Harper,Conservative,63.8,Stephen J. Stephen J.,Conservative,63.8
48007,Calgary Heritage,Larry R. Heather,Independent,0.2,Stephen J. Stephen J.,Conservative,63.8
48007,Calgary Heritage,Matt Masters Burgener,NDP-New Democratic Party,7.3,Stephen J. Stephen J.,Conservative,63.8
48007,Calgary Heritage,Brendan Miles,Liberal,26.0,Stephen J. Stephen J.,Conservative,63.8
48007,Calgary Heritage,Steven Paolasini,Libertarian,0.4,Stephen J. Stephen J.,Conservative,63.8
48007,Calgary Heritage,Korry Zepik,Independent,0.1,Stephen J. Stephen J.,Conservative,63.8
48008,Calgary Midnapore,Peggy Askin,Marxist-Leninist,0.2,Jason Jason,Conservative,66.7
48008,Calgary Midnapore,Haley Brown,Liberal,22.6,Jason Jason,Conservative,66.7
48008,Calgary Midnapore,Jason Kenney,Conservative,66.7,Jason Jason,Conservative,66.7
48008,Calgary Midnapore,Brennan Wauters,Green Party,2.7,Jason Jason,Conservative,66.7
48008,Calgary Midnapore,Laura Weston,NDP-New Democratic Party,7.7,Jason Jason,Conservative,66.7
48009,Calgary Nose Hill,Faizan Butt,Democratic Advancement,0.3,Michelle Michelle,Conservative,60.0
48009,Calgary Nose Hill,Edward Gao,Libertarian,1.3,Michelle Michelle,Conservative,60.0
48009,Calgary Nose Hill,Bruce Kaufman,NDP-New Democratic Party,8.9,Michelle Michelle,Conservative,60.0
48009,Calgary Nose Hill,Robert Prcic,Liberal,26.9,Michelle Michelle,Conservative,60.0
48009,Calgary Nose Hill,Michelle Rempel,Conservative,60.0,Michelle Michelle,Conservative,60.0
48009,Calgary Nose Hill,Laurie Scheer,Green Party,2.5,Michelle Michelle,Conservative,60.0
48010,Calgary Rocky Ridge,Pat Kelly,Conservative,60.4,Pat Pat,Conservative,60.4
48010,Calgary Rocky Ridge,Stephanie Kot,NDP-New Democratic Party,5.8,Pat Pat,Conservative,60.4
48010,Calgary Rocky Ridge,Nirmala Naidoo,Liberal,31.7,Pat Pat,Conservative,60.4
48010,Calgary Rocky Ridge,Catriona Wright,Green Party,2.1,Pat Pat,Conservative,60.4
48011,Calgary Shepard,Dany Allard,NDP-New Democratic Party,6.8,Tom Tom,Conservative,65.9
48011,Calgary Shepard,Jerome James,Liberal,24.7,Tom Tom,Conservative,65.9
48011,Calgary Shepard,Tom Kmiec,Conservative,65.9,Tom Tom,Conservative,65.9
48011,Calgary Shepard,Graham MacKenzie,Green Party,2.6,Tom Tom,Conservative,65.9
48012,Calgary Signal Hill,Khalis Ahmed,NDP-New Democratic Party,5.0,Ron Ron,Conservative,60.6
48012,Calgary Signal Hill,Kerry Cundal,Liberal,30.6,Ron Ron,Conservative,60.6
48012,Calgary Signal Hill,Taryn Knorren,Green Party,2.5,Ron Ron,Conservative,60.6
48012,Calgary Signal Hill,Ron Liepert,Conservative,60.6,Ron Ron,Conservative,60.6
48012,Calgary Signal Hill,Tim Moen,Libertarian,1.1,Ron Ron,Conservative,60.6
48012,Calgary Signal Hill,Jesse Rau,Christian Heritage Party,0.3,Ron Ron,Conservative,60.6
48013,Calgary Skyview,Daniel Blanchard,Marxist-Leninist,0.2,Darshan Singh Darshan Singh,Liberal,45.9
48013,Calgary Skyview,Najeeb Butt,PC Party,2.1,Darshan Singh Darshan Singh,Liberal,45.9
48013,Calgary Skyview,Stephen Garvey,Democratic Advancement,1.7,Darshan Singh Darshan Singh,Liberal,45.9
48013,Calgary Skyview,Darshan Singh Kang,Liberal,45.9,Darshan Singh Darshan Singh,Liberal,45.9
48013,Calgary Skyview,Ed Reddy,Green Party,1.9,Darshan Singh Darshan Singh,Liberal,45.9
48013,Calgary Skyview,Devinder Shory,Conservative,39.8,Darshan Singh Darshan Singh,Liberal,45.9
