num,prov,poly_num,X,Y,Path
24062,QC,1,7594905.0,1241709.87428571,1
24062,QC,1,7595516.0,1243204.10857143,2
24062,QC,1,7597542.87142857,1242925.51428571,3
24062,QC,1,7597959.78857143,1244195.82,4
24062,QC,1,7597115.99714286,1246287.25428571,5
24062,QC,1,7599419.36571429,1246997.28285714,6
24062,QC,1,7599290.0,1249225.0,7
24062,QC,1,7601912.0,1248105.12571429,8
24062,QC,1,7602539.39714286,1249131.18,9
24062,QC,1,7603448.94857143,1248642.23142857,10
24062,QC,1,7603030.29428571,1249802.75714286,11
24062,QC,1,7599754.18571429,1251539.92,12
24062,QC,1,7600978.93714286,1251121.92285714,13
24062,QC,1,7603632.56571429,1252473.72857143,14
24062,QC,1,7604218.23428571,1253037.67714286,15
24062,QC,1,7603637.0,1253750.0,16
24062,QC,1,7606572.0,1252371.25142857,17
24062,QC,1,7607990.82285714,1252811.40571429,18
24062,QC,1,7608929.86,1255368.22,19
24062,QC,1,7610037.56285714,1255797.72857143,20
24062,QC,1,7608903.11714286,1256345.40571429,21
24062,QC,1,7609364.40571429,1257179.66857143,22
24062,QC,1,7611843.45714286,1256048.11428571,23
24062,QC,1,7610826.52857143,1251969.61714286,24
24062,QC,1,7608839.0,1250384.12571429,25
24062,QC,1,7608669.78,1247166.99714286,26
24062,QC,1,7605926.06285714,1243670.00857143,27
24062,QC,1,7606801.70285714,1241352.26285714,28
24062,QC,1,7606003.0,1239999.87428571,29
24062,QC,1,7602907.0,1241255.12571429,30
24062,QC,1,7599486.0,1239873.75142857,31
24062,QC,1,7599872.0,1239005.75142857,32
24062,QC,1,7594905.0,1241709.87428571,33
24056,QC,1,7602662.0,1234563.75142857,34
24056,QC,1,7606003.0,1239999.87428571,35
24056,QC,1,7609639.5,1239282.25142857,36
24056,QC,1,7610051.0,1240283.25142857,37
24056,QC,1,7612783.2,1240853.43142857,38
24056,QC,1,7616458.07142857,1241342.98571429,39
24056,QC,1,7617613.5,1240740.87428571,40
24056,QC,1,7616163.71428571,1240202.17142857,41
24056,QC,1,7616719.61142857,1239354.35714286,42
24056,QC,1,7611751.20857143,1234147.46571429,43
24056,QC,1,7609315.66571429,1236375.61142857,44
24056,QC,1,7608444.28857143,1234291.73428571,45
24056,QC,1,7606747.5,1232969.0,46
24056,QC,1,7605366.53428571,1233776.30857143,47
24056,QC,1,7603615.5,1233288.12571429,48
24056,QC,1,7602662.0,1234563.75142857,49
24067,QC,1,7648355.83142857,1239131.03142857,50
24067,QC,1,7652128.12,1237091.31428571,51
24067,QC,1,7653888.74857143,1237265.39428571,52
24067,QC,1,7654760.34,1240052.44,53
24067,QC,1,7657872.53714286,1238396.10857143,54
24067,QC,1,7659487.37428571,1239147.17428571,55
24067,QC,1,7662703.82285714,1237430.86571429,56
24067,QC,1,7662244.79428571,1238633.38571429,57
24067,QC,1,7663217.48857143,1238590.81714286,58
24067,QC,1,7664839.89142857,1241521.25714286,59
24067,QC,1,7669395.62571429,1239143.44571429,60
24067,QC,1,7670230.04,1240776.81714286,61
24067,QC,1,7672986.68285714,1239791.01142857,62
24067,QC,1,7675120.79714286,1244134.17142857,63
24067,QC,1,7677076.47142857,1243018.21714286,64
24067,QC,1,7678640.54,1243290.69428571,65
24067,QC,1,7679292.15714286,1240709.64857143,66
24067,QC,1,7680666.76285714,1239993.12,67
24067,QC,1,7676935.10285714,1237402.45142857,68
24067,QC,1,7677471.11714286,1235930.66571429,69
24067,QC,1,7680779.79142857,1234336.71428571,70
24067,QC,1,7681196.64285714,1232440.76857143,71
24067,QC,1,7678238.04571429,1233960.06,72
24067,QC,1,7678794.42,1231096.98857143,73
24067,QC,1,7677939.59714286,1231540.83714286,74
24067,QC,1,7677741.92857143,1230804.29428571,75
24067,QC,1,7678230.58571429,1226383.36857143,76
24067,QC,1,7679932.26,1225198.30571429,77
24067,QC,1,7677933.96,1222493.39714286,78
24067,QC,1,7679197.17428571,1219976.05714286,79
24067,QC,1,7675907.54857143,1218999.58571429,80
24067,QC,1,7674565.9,1222602.4,81
24067,QC,1,7671092.66285714,1221502.00857143,82
24067,QC,1,7671758.05142857,1219774.18571429,83
24067,QC,1,7667781.39428571,1218148.37428571,84
24067,QC,1,7668350.33428571,1216355.46,85
24067,QC,1,7666161.70857143,1215672.85714286,86
24067,QC,1,7667582.33714286,1210874.91428571,87
24067,QC,1,7664107.29142857,1204982.73142857,88
24067,QC,1,7664687.92571429,1196572.61428571,89
24067,QC,1,7659473.69428571,1194902.47428571,90
24067,QC,1,7658389.44285714,1198446.97714286,91
24067,QC,1,7660010.41714286,1198938.05142857,92
24067,QC,1,7658402.08,1204312.42285714,93
24067,QC,1,7657749.50285714,1204134.23714286,94
24067,QC,1,7657241.83428571,1205756.56,95
24067,QC,1,7657885.34,1205931.64571429,96
24067,QC,1,7657403.39142857,1207532.54857143,97
24067,QC,1,7658460.03428571,1207819.08285714,98
24067,QC,1,7658134.05142857,1209018.89428571,99
24067,QC,1,7659776.17142857,1209449.69714286,100
24067,QC,1,7657103.38571429,1216598.80285714,101
24067,QC,1,7655414.39428571,1217451.52285714,102
24067,QC,1,7656803.32857143,1220585.21142857,103
24067,QC,1,7653597.75428571,1222612.75714286,104
24067,QC,1,7651582.93142857,1221451.58285714,105
24067,QC,1,7653186.42285714,1224983.61714286,106
